,AUC_baseline,AUC01_baseline,PPV_baseline,AUC_structure,AUC01_structure,PPV_structure
5107,0.9466059133667681,0.8958587968252183,0.709147771696638,0.9440184808656871,0.8893922848497653,0.7005473025801408
5108,0.9458540670153002,0.8964188214187507,0.7380766223612197,0.9445352831831877,0.8918886275374354,0.7294761532447225
5109,0.9547846037690999,0.8987005336993482,0.7247849882720876,0.9531086788308445,0.8947511293392705,0.7208756841282252
5110,0.9456126873432579,0.8902974329079061,0.7240031274433151,0.9445084018836538,0.8830740886597984,0.7068021892103206
5111,0.9514147828441417,0.9000038205340938,0.7326035965598123,0.9493477777690019,0.896563732263518,0.727130570758405
5112,0.9486482472449371,0.8926856729880649,0.7232212666145426,0.9474433280014816,0.8887970670405174,0.709147771696638
5113,0.9413035567955098,0.8868879476407465,0.7412040656763096,0.9393473075082681,0.8797351506678718,0.72869429241595
5114,0.9456733078671897,0.8991872899133266,0.7458952306489445,0.9453401842240496,0.8940213693182593,0.7388584831899921
5115,0.945136134995767,0.8895396624805595,0.706020328381548,0.9439726454452915,0.8858063391448813,0.709147771696638
5116,0.9497391554463884,0.8934624795912165,0.6950742767787333,0.9483678750793225,0.8885193748680451,0.6927286942924159
5117,0.9485195642565352,0.8939958429675122,0.7169663799843627,0.946980538013221,0.8885790264094607,0.6989835809225958
5118,0.9477346423671107,0.9000109269787396,0.727130570758405,0.946971129494551,0.895243832199906,0.7154026583268178
5119,0.9470432024494451,0.8899312408133282,0.7099296325254105,0.9452553564826176,0.8851508245746078,0.6982017200938233
5120,0.9479061302595871,0.8928896706911158,0.7130570758405004,0.9457938538062436,0.8884434958605467,0.7075840500390931
5121,0.9517453469644419,0.8973884670435457,0.7404222048475372,0.9508890550296933,0.8918119881398612,0.7388584831899921
5122,0.9421646346764603,0.8809993275220083,0.6841282251759186,0.9410661730519317,0.8750302116404411,0.6802189210320563
5123,0.9437510191589337,0.8891018092076379,0.6997654417513682,0.9432399031140479,0.882369748682504,0.6864738076622361
5124,0.9452644648696281,0.8940336201574045,0.7130570758405004,0.9432750360811504,0.8873902285638087,0.7021110242376857
5125,0.9457932718658502,0.8893545711334376,0.7068021892103206,0.9451979253212415,0.8856578354840281,0.6997654417513682
5126,0.9427756881883154,0.8874007586715293,0.7263487099296325,0.9410940974621933,0.8831483010955733,0.7193119624706802
5127,0.9478015819849531,0.8970467689888434,0.7372947615324472,0.9452752707802692,0.8896875355966956,0.7185301016419078
5128,0.9394678261081881,0.8825823915166359,0.6872556684910086,0.9380631378813152,0.8764163604683046,0.6778733385457388
5129,0.9393162767202217,0.8802814855239212,0.6989835809225958,0.9373443754578632,0.874763049051226,0.6841282251759186
5130,0.953751334749824,0.8948100360688188,0.7005473025801408,0.9518110910817,0.8887885699654587,0.6849100860046912
5131,0.9408374340677559,0.8821782953248575,0.7114933541829555,0.9398229538472467,0.8783405684247757,0.7122752150117279
5132,0.9442133117690322,0.8883845063655134,0.7068021892103206,0.9423808657168411,0.8830480399160259,0.6974198592650508
5133,0.9442354571277728,0.8907966439827053,0.6997654417513682,0.9425698463986962,0.8838037874702749,0.6919468334636435
5134,0.943199052341869,0.890172883841444,0.7146207974980453,0.9405986367080087,0.8850451016602623,0.7036747458952306
5135,0.9484404212838101,0.9000313984731776,0.7310398749022674,0.9486753852510799,0.8941895675337947,0.7216575449569976
5136,0.9429932017487251,0.8916949057434229,0.7146207974980453,0.9410566818182173,0.8840494307042472,0.6989835809225958
5137,0.945090399971054,0.8953910796421478,0.7005473025801408,0.9426914919974474,0.8874319809483762,0.6880375293197811
5138,0.9471752085404928,0.8922811694609754,0.7349491790461298,0.9457450048384823,0.8853549261384519,0.7263487099296325
5139,0.9449056519475676,0.8957843018178007,0.6966379984362784,0.9445778521977638,0.892361893513806,0.6935105551211884
5140,0.9432028363701996,0.8925633791461459,0.7154026583268178,0.9413992968750323,0.8863061572294211,0.7052384675527756
5141,0.9432535803503546,0.8955062523257203,0.7083659108678655,0.9413654271853197,0.8895612891792857,0.6958561376075059
5142,0.9477135315644409,0.8940045641478601,0.7326035965598123,0.9472697555348681,0.8898280767471095,0.7216575449569976
5143,0.9437264528435215,0.8862647715061106,0.7013291634089132,0.942117861097056,0.8805404084344814,0.6880375293197811
5144,0.947956522849172,0.9023302950559842,0.7068021892103206,0.9462557076230215,0.8969036997750719,0.6958561376075059
5145,0.9410164409721677,0.8863679019288653,0.7099296325254105,0.940218465665446,0.8822890609872356,0.7068021892103206
5146,0.9416002331804109,0.8913468404060041,0.709147771696638,0.9406240619636257,0.8875968158153373,0.7044566067240031
5147,0.9366298434744587,0.8811380514005032,0.7021110242376857,0.9363126984327527,0.8782876726613912,0.7075840500390931
5148,0.9429099577671747,0.8862380836883901,0.7138389366692729,0.9419669761543632,0.8798086900757187,0.6950742767787333
5149,0.9376263108458007,0.8863189378128216,0.7169663799843627,0.9369342893161046,0.8809391970499281,0.7036747458952306
5150,0.9428341886602769,0.8837142502978805,0.6864738076622361,0.9431389297993796,0.8804252157819485,0.6825645035183737
5151,0.9496727259462048,0.8928097489796524,0.709147771696638,0.9472905790741379,0.8873336276248778,0.6958561376075059
5152,0.9454943309819579,0.8899329126958069,0.7107114933541829,0.9414260265830311,0.8825205105843457,0.7052384675527756
5153,0.9445407650970012,0.8903600673454372,0.7419859265050821,0.9423558652621224,0.8843905841813879,0.72869429241595
5154,0.9446768934458131,0.893771102882891,0.6880375293197811,0.9438287062008183,0.888337017540884,0.6770914777169664
